challenge_id,user_id,type,date
54,25,correct,2019-11-20 17:20:14
6,9,correct,2019-11-20 17:20:16
61,19,correct,2019-11-20 17:20:18
60,22,correct,2019-11-20 17:20:21
55,25,correct,2019-11-20 17:20:30
73,11,correct,2019-11-20 17:20:39
62,19,correct,2019-11-20 17:20:39
61,22,correct,2019-11-20 17:20:45
62,22,correct,2019-11-20 17:20:57
63,19,correct,2019-11-20 17:21:02
33,26,correct,2019-11-20 17:21:03
10,9,correct,2019-11-20 17:21:16
63,22,correct,2019-11-20 17:21:18
64,19,correct,2019-11-20 17:21:18
34,26,correct,2019-11-20 17:21:48
56,25,correct,2019-11-20 17:21:48
65,19,correct,2019-11-20 17:21:49
64,22,correct,2019-11-20 17:21:49
11,9,correct,2019-11-20 17:21:56
12,9,correct,2019-11-20 17:22:05
32,27,correct,2019-11-20 17:22:26
66,19,correct,2019-11-20 17:22:26
21,25,correct,2019-11-20 17:22:26
65,22,correct,2019-11-20 17:22:46
35,26,correct,2019-11-20 17:23:05
66,22,correct,2019-11-20 17:23:21
67,19,correct,2019-11-20 17:23:22
22,25,correct,2019-11-20 17:23:55
1,28,correct,2019-11-20 17:23:58
68,19,correct,2019-11-20 17:23:58
57,25,correct,2019-11-20 17:24:17
9,9,correct,2019-11-20 17:24:21
72,22,correct,2019-11-20 17:24:24
58,25,correct,2019-11-20 17:24:26
59,25,correct,2019-11-20 17:24:34
69,19,correct,2019-11-20 17:24:38
60,25,correct,2019-11-20 17:24:42
70,19,correct,2019-11-20 17:25:14
61,25,correct,2019-11-20 17:25:20
71,19,correct,2019-11-20 17:25:51
15,9,correct,2019-11-20 17:25:54
72,19,correct,2019-11-20 17:26:47
19,9,correct,2019-11-20 17:26:54
1,26,correct,2019-11-20 17:26:56
23,25,correct,2019-11-20 17:27:03
73,19,correct,2019-11-20 17:28:13
32,28,correct,2019-11-20 17:28:13
7,9,correct,2019-11-20 17:28:57
36,26,correct,2019-11-20 17:28:59
1,27,correct,2019-11-20 17:29:07
24,25,correct,2019-11-20 17:29:19
74,22,correct,2019-11-20 17:29:40
62,25,correct,2019-11-20 17:29:41
67,22,correct,2019-11-20 17:30:48
63,25,correct,2019-11-20 17:30:56
75,19,correct,2019-11-20 17:31:04
64,25,correct,2019-11-20 17:31:04
65,25,correct,2019-11-20 17:31:15
76,19,correct,2019-11-20 17:31:28
66,25,correct,2019-11-20 17:31:35
10,27,correct,2019-11-20 17:31:35
68,22,correct,2019-11-20 17:31:44
67,25,correct,2019-11-20 17:31:44
69,22,correct,2019-11-20 17:32:01
12,17,correct,2019-11-20 17:32:04
68,25,correct,2019-11-20 17:32:07
70,22,correct,2019-11-20 17:32:13
69,25,correct,2019-11-20 17:32:13
70,25,correct,2019-11-20 17:32:22
71,22,correct,2019-11-20 17:32:24
71,25,correct,2019-11-20 17:32:30
11,27,correct,2019-11-20 17:32:36
72,25,correct,2019-11-20 17:32:38
73,25,correct,2019-11-20 17:32:44
74,25,correct,2019-11-20 17:32:55
30,4,correct,2019-11-20 17:33:00
75,25,correct,2019-11-20 17:33:06
76,25,correct,2019-11-20 17:33:21
15,17,correct,2019-11-20 17:33:44
2,26,correct,2019-11-20 17:36:00
3,26,correct,2019-11-20 17:36:59
37,26,correct,2019-11-20 17:37:51
31,31,correct,2019-11-20 17:38:35
4,26,correct,2019-11-20 17:40:07
7,22,correct,2019-11-20 17:40:18
5,26,correct,2019-11-20 17:41:23
31,32,correct,2019-11-20 17:41:47
32,32,correct,2019-11-20 17:42:13
1,31,correct,2019-11-20 17:42:18
7,28,correct,2019-11-20 17:42:21
34,32,correct,2019-11-20 17:42:26
35,32,correct,2019-11-20 17:42:43
36,32,correct,2019-11-20 17:42:52
8,22,correct,2019-11-20 17:42:58
37,32,correct,2019-11-20 17:43:01
7,26,correct,2019-11-20 17:43:03
38,32,correct,2019-11-20 17:43:18
25,4,correct,2019-11-20 17:43:37
39,32,correct,2019-11-20 17:43:59
6,26,correct,2019-11-20 17:44:31
40,32,correct,2019-11-20 17:44:32
12,28,correct,2019-11-20 17:44:36
41,32,correct,2019-11-20 17:45:06
10,22,correct,2019-11-20 17:45:22
42,32,correct,2019-11-20 17:45:40
8,26,correct,2019-11-20 17:45:54
43,32,correct,2019-11-20 17:46:27
13,28,correct,2019-11-20 17:46:45
44,32,correct,2019-11-20 17:46:45
7,17,correct,2019-11-20 17:47:00
10,26,correct,2019-11-20 17:47:48
45,32,correct,2019-11-20 17:47:50
46,32,correct,2019-11-20 17:47:59
47,32,correct,2019-11-20 17:48:06
48,32,correct,2019-11-20 17:48:13
49,32,correct,2019-11-20 17:48:21
7,11,correct,2019-11-20 17:48:27
50,32,correct,2019-11-20 17:48:30
12,11,correct,2019-11-20 17:49:03
51,32,correct,2019-11-20 17:49:05
58,32,correct,2019-11-20 17:49:16
15,11,correct,2019-11-20 17:49:17
11,22,correct,2019-11-20 17:49:18
59,32,correct,2019-11-20 17:49:23
8,11,correct,2019-11-20 17:49:32
60,32,correct,2019-11-20 17:49:49
61,32,correct,2019-11-20 17:50:36
62,32,correct,2019-11-20 17:50:44
63,32,correct,2019-11-20 17:50:52
64,32,correct,2019-11-20 17:51:21
11,26,correct,2019-11-20 17:51:53
65,32,correct,2019-11-20 17:52:03
10,17,correct,2019-11-20 17:52:25
1,33,correct,2019-11-20 17:52:26
66,32,correct,2019-11-20 17:52:38
67,32,correct,2019-11-20 17:52:46
68,32,correct,2019-11-20 17:52:59
69,32,correct,2019-11-20 17:53:07
70,32,correct,2019-11-20 17:53:14
71,32,correct,2019-11-20 17:53:22
75,32,correct,2019-11-20 17:53:31
9,26,correct,2019-11-20 17:53:34
76,32,correct,2019-11-20 17:53:54
31,34,correct,2019-11-20 17:54:05
34,33,correct,2019-11-20 17:54:32
32,34,correct,2019-11-20 17:54:33
26,25,correct,2019-11-20 17:54:35
33,32,correct,2019-11-20 17:54:41
32,33,correct,2019-11-20 17:54:50
54,32,correct,2019-11-20 17:54:59
31,33,correct,2019-11-20 17:55:08
57,32,correct,2019-11-20 17:55:08
27,25,correct,2019-11-20 17:55:19
73,32,correct,2019-11-20 17:55:22
20,26,correct,2019-11-20 17:55:30
52,32,correct,2019-11-20 17:55:38
15,28,correct,2019-11-20 17:55:39
35,33,correct,2019-11-20 17:55:55
53,32,correct,2019-11-20 17:56:05
55,32,correct,2019-11-20 17:56:19
13,11,correct,2019-11-20 17:56:26
19,26,correct,2019-11-20 17:56:27
36,33,correct,2019-11-20 17:56:39
56,32,correct,2019-11-20 17:57:05
31,35,correct,2019-11-20 17:57:09
16,28,correct,2019-11-20 17:57:09
37,33,correct,2019-11-20 17:57:23
72,32,correct,2019-11-20 17:57:24
38,33,correct,2019-11-20 17:57:44
74,32,correct,2019-11-20 17:57:49
32,35,correct,2019-11-20 17:57:50
39,33,correct,2019-11-20 17:57:56
40,33,correct,2019-11-20 17:58:16
41,33,correct,2019-11-20 17:59:21
1,32,correct,2019-11-20 17:59:24
18,22,correct,2019-11-20 17:59:56
42,33,correct,2019-11-20 18:00:33
16,11,correct,2019-11-20 18:00:40
43,33,correct,2019-11-20 18:01:05
13,26,correct,2019-11-20 18:01:07
38,26,correct,2019-11-20 18:01:41
1,36,correct,2019-11-20 18:02:15
44,33,correct,2019-11-20 18:02:58
12,26,correct,2019-11-20 18:03:13
45,33,correct,2019-11-20 18:03:34
1,35,correct,2019-11-20 18:03:37
12,22,correct,2019-11-20 18:03:49
46,33,correct,2019-11-20 18:04:13
40,26,correct,2019-11-20 18:04:17
8,28,correct,2019-11-20 18:04:29
41,26,correct,2019-11-20 18:05:36
10,28,correct,2019-11-20 18:08:15
42,37,correct,2019-11-20 18:08:51
43,37,correct,2019-11-20 18:09:11
14,22,correct,2019-11-20 18:09:20
14,26,correct,2019-11-20 18:09:21
21,11,correct,2019-11-20 18:10:21
15,26,correct,2019-11-20 18:10:25
44,37,correct,2019-11-20 18:10:42
13,22,correct,2019-11-20 18:12:40
16,26,correct,2019-11-20 18:12:40
46,37,correct,2019-11-20 18:12:48
47,37,correct,2019-11-20 18:13:09
48,37,correct,2019-11-20 18:13:23
15,32,correct,2019-11-20 18:13:57
33,34,correct,2019-11-20 18:14:08
18,32,correct,2019-11-20 18:14:33
1,37,correct,2019-11-20 18:14:39
49,37,correct,2019-11-20 18:14:55
50,37,correct,2019-11-20 18:15:16
58,37,correct,2019-11-20 18:15:36
12,32,correct,2019-11-20 18:15:41
59,37,correct,2019-11-20 18:15:44
1,38,correct,2019-11-20 18:15:46
60,37,correct,2019-11-20 18:15:53
